method,model,dataset,seeds,n,auroc_mean,auroc_std,auprc_mean,auprc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,threshold
Ni-Avg-State,mistral_7b_instruct,math_operations_6k,0/100/42,840,0.5592072655179452,0.23124124260371856,0.7898593719414313,0.14246328465365055,0.6226190476190476,0.05503297300631533,0.7007619948157897,0.09340067939980905,0.5
Ni-Avg-State,mistral_7b_instruct,medals_9k,0/100/42,1347,0.5207563428194638,0.04504794430002787,0.4447183898541147,0.03467775002629748,0.5548131650581539,0.0305765162505884,0.14470933707083436,0.0620404843596431,0.5
Ni-Avg-State,mistral_7b_instruct,gsm8k,0/100/42,1318,0.5987632142058702,0.025332985592657967,0.1615777444650038,0.01460388604828886,0.8247344461305008,0.08939124106428768,0.14543520637342147,0.07126648382970184,0.5
Ni-Avg-State,llama3.1_8b_chat,trivia_qa_2_60k,0/100/42,8782,0.7882618718542771,0.003767089609888065,0.8592647748100969,0.00330339659829252,0.7112654672436043,0.0174221235846892,0.7605016998308892,0.02278979571727702,0.5
Ni-Avg-State,llama3.1_8b_chat,notable_people,0/100/42,2459,0.6843560609558282,0.02789093248315504,0.9584345776400331,0.005709759525328372,0.8961637522027924,0.022364350980067057,0.944187445403856,0.013047254867943649,0.5
Ni-Avg-State,llama3.1_8b_chat,cities_10k,0/100/42,1497,0.7485529984578473,0.025493431580793875,0.8643848758882179,0.011481866012742214,0.5099087063014919,0.16462889372853387,0.43911377696907367,0.33765467966837753,0.5
Ni-Avg-State,llama3.1_8b_chat,math_operations_6k,0/100/42,840,0.7838150135824554,0.01447304123902043,0.9110844430893458,0.005806587195244441,0.6523809523809524,0.2026328963987532,0.700331487546285,0.24575941592069442,0.5
Ni-Avg-State,llama3.1_8b_chat,medals_9k,0/100/42,1346,0.6088660112953398,0.046628735588578545,0.508912638503504,0.07576461944360809,0.5879148093115404,0.019321255175621114,0.16715383085890934,0.09024066841568297,0.5
Ni-Avg-State,llama3.1_8b_chat,gsm8k,0/100/42,1318,0.6758295520883086,0.02707682458523327,0.2589168594883891,0.03621253339933856,0.6471927162367223,0.10608054808252848,0.30752834567720133,0.02732944341823152,0.5
PRISM-SAPLMA,qwen_2.5_7b_instruct,trivia_qa_2_60k,0/1/2,8782,0.7352318459136309,0.0024518398313119073,0.75110110243329,0.0034062334651806876,0.6867076596067715,0.002865647322276906,0.7388923953229295,0.0027493459110538155,0.5
PRISM-SAPLMA,qwen_2.5_7b_instruct,notable_people,0/1/2,2459,0.596875965792068,0.04279609819610871,0.5245213739586454,0.045727217288009145,0.4314762098413989,0.010919659684503901,0.5982221770429766,0.0029039126362038633,0.5
PRISM-SAPLMA,qwen_2.5_7b_instruct,cities_10k,0/1/2,1498,0.673654721333442,0.007617491664820812,0.7016026789737388,0.0033526617030183946,0.7443257676902538,0.013549921982766642,0.8241267156295584,0.012578127902604423,0.5
PRISM-SAPLMA,qwen_2.5_7b_instruct,math_operations_6k,0/1/2,840,0.9007580999550845,0.003942623122818072,0.9742389270608077,0.002305282520360547,0.6952380952380951,0.03358746661825209,0.7677965089206631,0.03190791673613431,0.5
PRISM-SAPLMA,qwen_2.5_7b_instruct,medals_9k,0/1/2,1347,0.49700988463398604,0.036955397993044786,0.29388846413502717,0.015033320143042692,0.29299678297451126,0.008177536076148637,0.44363307671676705,0.002099529479316461,0.5
PRISM-SAPLMA,qwen_2.5_7b_instruct,gsm8k,0/1/2,1318,0.46395129681844544,0.011796566301643125,0.3418644470342473,0.006052053513764819,0.6403641881638846,0.0,0.0,0.0,0.5
PRISM-SAPLMA,ministral_8b_instruct,trivia_qa_2_60k,0/1/2,8782,0.7154593592120917,0.004900840559457623,0.7899573710982333,0.00432096205308131,0.693539816290898,0.007630374574129398,0.7690602542909503,0.011783385367214922,0.5
PRISM-SAPLMA,ministral_8b_instruct,notable_people,0/1/2,2458,0.49186743788128445,0.028525654225473453,0.6834500024498714,0.019162086603812765,0.6741253051261188,0.0,0.8053462940461725,0.0,0.5
PRISM-SAPLMA,ministral_8b_instruct,cities_10k,0/1/2,1499,0.5699121378824503,0.010807081241502621,0.7663948969597157,0.005191430509543495,0.7545030020013342,0.02319591547793688,0.851017580436126,0.016715728935268206,0.5
PRISM-SAPLMA,ministral_8b_instruct,math_operations_6k,0/1/2,840,0.595337953956501,0.07521435529303605,0.7846096100075058,0.04599131506510488,0.7083333333333334,0.07114029127775554,0.8036796487716796,0.06161403821451776,0.5
PRISM-SAPLMA,ministral_8b_instruct,medals_9k,0/1/2,1347,0.44899677411974653,0.04405220840153853,0.38345190776513016,0.01810041740953141,0.41969809453105666,0.011144103191484978,0.5734726336194866,0.004406036102748403,0.5
PRISM-SAPLMA,ministral_8b_instruct,gsm8k,0/1/2,1318,0.4716303187941843,0.01421444975954689,0.1324763550904031,0.0022791649146073952,0.8512898330804249,0.0,0.0,0.0,0.5
PRISM-SAPLMA,mistral_7b_instruct,trivia_qa_2_60k,0/1/2,8782,0.755391659481958,0.001757689016649595,0.8108466811711995,0.0017384827976322944,0.7265239505048204,0.00823042016592363,0.7986962617740995,0.012627200043919989,0.5
PRISM-SAPLMA,mistral_7b_instruct,notable_people,0/1/2,2457,0.44872697037216186,0.03997154074229347,0.8291972474251453,0.01827767722523519,0.8514448514448515,0.0,0.9194793734833443,1.3597399555105182e-16,0.5
PRISM-SAPLMA,mistral_7b_instruct,cities_10k,0/1/2,1497,0.9365632105908546,0.004499072941057644,0.8963790600208044,0.00934659838562804,0.9091516366065463,0.026392446580011258,0.909797981335581,0.028945143720712264,0.5
PRISM-SAPLMA,mistral_7b_instruct,math_operations_6k,0/1/2,840,0.7673292224263099,0.03328061182434731,0.8714612951937332,0.013374610169532772,0.6119047619047618,0.19237520618481094,0.6385112992801267,0.2589514384676221,0.5
PRISM-SAPLMA,mistral_7b_instruct,medals_9k,0/1/2,1347,0.44463763880771473,0.02064042896666514,0.40744925660602105,0.007644614950151332,0.451373422420193,0.05617203396593003,0.5543586571700309,0.11100401053463714,0.5
PRISM-SAPLMA,mistral_7b_instruct,gsm8k,0/1/2,1318,0.5662227332247453,0.016274770581638894,0.12044831449351563,0.006029373569170721,0.8922610015174507,0.0,0.0,0.0,0.5
PRISM-SAPLMA,llama3.1_8b_chat,trivia_qa_2_60k,0/1/2,8782,0.7355911523910548,0.004782067897141048,0.8143836657044599,0.004341430056732783,0.7245881727776512,0.010031058317892878,0.803798365673722,0.014773691283158053,0.5
PRISM-SAPLMA,llama3.1_8b_chat,notable_people,0/1/2,2459,0.57482509518577,0.008387965012121872,0.9382673776498226,0.0019155330617779953,0.9201572454927477,0.006225274503567852,0.9583407281744024,0.003389182989428044,0.5
PRISM-SAPLMA,llama3.1_8b_chat,cities_10k,0/1/2,1497,0.6067750402453912,0.015152553494636962,0.7340893848136257,0.0038815202529588104,0.7076374972166555,0.02703004391982815,0.8229957214161897,0.013208743237597869,0.5
PRISM-SAPLMA,llama3.1_8b_chat,math_operations_6k,0/1/2,840,0.7115391240972637,0.05760303637549532,0.8787284654040294,0.020059093023968726,0.47380952380952385,0.08606904099961901,0.5084281577831585,0.11837238767505379,0.5
PRISM-SAPLMA,llama3.1_8b_chat,medals_9k,0/1/2,1346,0.461841986046933,0.007123580145617545,0.40498600402245327,0.00048760377430468214,0.4799405646359584,0.019949066243829958,0.6004259214495167,0.022623169400996363,0.5
PRISM-SAPLMA,llama3.1_8b_chat,gsm8k,0/1/2,1318,0.5124258676962267,0.007303585182363759,0.13076646765055855,0.00158103503041674,0.866464339908953,0.0,0.0,0.0,0.5
