dataset,variant,auroc,auprc,accuracy,f1,brier,ece,delta_auroc,delta_auprc,delta_brier,delta_ece,source_file,source_sha256
trivia_qa_2_60k,full,0.8660608259060287,0.9031270355881618,0.7933841949442041,0.8309524711108656,0.14048227295279503,0.03073175452563482,0.0,0.0,0.0,0.0,ablation_minimal/results/core_ablation_macro.csv,28b65647aa48ff3d0063284021a8eb6503b7b407251df01b824c4eb3ddfb7b5b
trivia_qa_2_60k,prefill_only,0.805408274893213,0.8620354872836861,0.7287064450011387,0.771242549361202,0.17103102399492215,0.029175040286540388,-0.06065255101281575,-0.0410915483044757,0.03054875104212712,-0.0015567142390944325,ablation_minimal/results/core_ablation_macro.csv,28b65647aa48ff3d0063284021a8eb6503b7b407251df01b824c4eb3ddfb7b5b
trivia_qa_2_60k,meanpool_mlp,0.7971912534396296,0.8521117265453635,0.7230699157367342,0.7622009870615446,0.16815365617603345,0.02803385347068835,-0.06886957246639913,-0.051015309042798274,0.02767138322323842,-0.00269790105494647,ablation_minimal/results/core_ablation_macro.csv,28b65647aa48ff3d0063284021a8eb6503b7b407251df01b824c4eb3ddfb7b5b
gsm8k,full,0.8123471901081779,0.5532255952625346,0.7661229135053111,0.49499594552910603,0.10750718973577023,0.028030877599382435,0.0,0.0,0.0,0.0,ablation_minimal/results/core_ablation_macro.csv,28b65647aa48ff3d0063284021a8eb6503b7b407251df01b824c4eb3ddfb7b5b
gsm8k,prefill_only,0.7308746960700052,0.38982413871052396,0.6951820940819423,0.41248274808555996,0.1259071644974422,0.029671765213153192,-0.0814724940381727,-0.1634014565520106,0.01839997476167196,0.001640887613770757,ablation_minimal/results/core_ablation_macro.csv,28b65647aa48ff3d0063284021a8eb6503b7b407251df01b824c4eb3ddfb7b5b
gsm8k,meanpool_mlp,0.7903060795555689,0.5053418520876304,0.7211684370257967,0.46170828533167724,0.1130595509131774,0.023650027194887777,-0.022041110552609045,-0.04788374317490418,0.005552361177407178,-0.004380850404494659,ablation_minimal/results/core_ablation_macro.csv,28b65647aa48ff3d0063284021a8eb6503b7b407251df01b824c4eb3ddfb7b5b
gsm8k,random_128,0.799884896341839,0.5173448285526192,0.7266691957511381,0.4661573878998154,0.11375552788376808,0.03687363588611549,-0.012462293766338894,-0.03588076670991536,0.006248338147997856,0.00884275810018589,ablation_random128/results/macro_summary.csv,1c9e964e3f2cfce51e98775522184c5f4df6534a54caaa0af6bf3c1c74124eb3
